,filename,compStages,auxStages,Away %,Home %,Sleep %,Awake %,TOU %,Custom Schedule %,Smart Away %,Smart Home %,DR %,Hold %,TOU Event %,Custom Event %,Sq. Ft.,Floors,Age,Style,State,City
4875,9078e6f21758232f5eeb36776ad034d5f310d19b.csv,0,1,0.296932234,0.376373626,0.293708028,0,0,0.032986111,0.095257173,0.023809524,0,0.417429792,0,0.46350351,2000,4,50,detached,NY,Cornwall
4877,908524b78e72c67afce80f31c416c23644ee6c0a.csv,0,1,0.014261938,0.494117309,0.374531298,0,0,0.117089455,0.017523722,0.007030533,0,0.079048056,0,0.896397689,2500,2,60,detached,NY,Poughkeepsie town
4891,90e3e532a1987795c276b2acfb7a76900ec13f54.csv,0,1,0.202154117,0.461642945,0.305632078,0,0,0.03057086,0,0,0,0.175323309,0,0.824676691,2000,3,120,detached,NY,Troy
4896,91176402c54b904b1984715267012c57524a56db.csv,0,1,0,0.688638277,0.283947429,0,0,0.027414294,0.00012435,0,0,0.870724288,0,0.129151362,1500,3,0,detached,NY,Milton
4901,914937573ceb0018e44a439305dee9fc9d6aef57.csv,0,0,0.448645833,0.02140625,0.525277778,0,0,0.004670139,0,0.008628472,0,0.383506944,0,0.607864583,1001,1,19,Detached,NY,Pomona
4902,914b22f8a72e91cc3c2f6efba8d78a65748ee01e.csv,0,1,0.203525641,0.47378663,0.295720772,0,0,0.026966957,0.002651862,0.035733364,0,0.010435745,0,0.951179029,0,3,95,,NY,Glendale
4904,91557a02617d290105c06826b1594cf805f7e082.csv,0,1,0,0.607200092,0.363600809,0,0,0.0291991,0,0,0,0.970228556,0,0.029771444,0,0,0,,NY,new york
4907,9167a9cad081e28b226d950e8e41dcce7d1c018b.csv,0,1,0.189566116,0.312327824,0.358585859,0,0,0.139520202,0.012339302,0.140868916,0,0.050658096,0,0.796133685,3000,2,50,other,NY,Valley Stream
4920,91df0d3464af8b519701c804b6c1e9fd0e8e9d30.csv,0,1,0.257631258,0.222107753,0.390233898,0,0,0.130027091,0,0,0,0.029256334,0,0.970743666,2000,3,20,detached,NY,Blauvelt
4923,91e8fd3480fc0e7c4fa8164e30fd58ff8dddc5ee.csv,0,1,0.042849512,0.654370803,0.275087759,0,0,0.027691926,0,0,0,0.826837225,0,0.173162775,2000,2,15,other,NY,Walden
4924,91ea499ad283c217a64cbb95312ebf2e408e3fdc.csv,0,1,0.146901709,0.422008547,0.401585394,0,0,0.02950435,0.014403999,0.010674222,0,0.326131334,0,0.648790446,0,0,0,,NY,Jamestown
4925,91f5be36fda1eb438752ff1e6cc41bdf159ff136.csv,0,1,0.226753281,0.39884768,0.346993284,0,0,0.027405754,0.000868056,0,0,0.122376755,0,0.876755189,3000,3,20,detached,NY,Oyster Bay
4929,9229990d73683ce392ba7a6ad96d8312caa3ed8a.csv,0,1,0.244743971,0.316659035,0.407318376,0,0,0.031278617,0.000381563,0.002613706,0,0.242683532,0,0.7543212,2500,2,15,townhouse,NY,Endicott
4937,927da429cc7bb5f99732e4e623f60a6d6652e46b.csv,2,1,0.279408959,0.207408043,0.402434371,0,0,0.110748626,0.001325931,0.083724435,0,0.0746337,0,0.840315934,2500,3,90,detached,NY,Oneonta
4939,928128025298802ad3109b12ba9319c7080d44b9.csv,0,1,0,0.598986951,0.282900259,0,0,0.11811279,0,0,0,0.176377442,0,0.823622558,1000,3,55,detached,NY,Bethpage
4942,928812d43dcf7890235dd3e963ff203d99029d86.csv,0,1,0.252085246,0.398492501,0.282761325,0,0,0.066660927,9.57E-06,0.023081191,0,0.053652051,0,0.923257193,3500,2,95,detached,NY,Brighton
4952,92d8b71ff61671ba0277ce414668b7bed2131af5.csv,0,1,0,0.681832108,0.279953023,0,0,0.038214869,0,0,0,0.961785131,0,0.038214869,2500,4,120,rowHouse,NY,Brooklyn
4958,92edcd8761f817a39ff878c23b914b6493fe911f.csv,0,1,0,0.700780616,0.288967457,0,0,0.010251926,0,0,0,0.469713098,0,0.530286902,0,0,0,,NY,Islip Terrace
4960,92f214ff04d81cf9c448ea69fad8cf52657057a4.csv,0,1,0.403016255,0.285351801,0.279723748,0,0,0.031908196,0,0,0,0.920491835,0,0.079508165,2000,2,60,Detached,NY,Ossining
4964,92f95502b67670478685423c52bc77cee37cb685.csv,0,1,0,0.351028534,0.490820615,0,0,0.158150852,0,0,0,0.603295731,0,0.396704269,1000,2,0,other,NY,New York
